pond,year,depth,larv_density,log_larv_dens
Millsap 2,2021,6,0,-2.304490568
Central,2022,10,0,-2.304490568
Suess,2022,15,0.15625,-0.792607168
Calabasas,2022,27,0.335820896,-0.467524356
Visitor Center,2022,30,0,-2.304490568
South Moro Cojo,2022,30,0.004960317,-2.003460572
Caltrans 1,2023,60.96,0,-2.304490568
Caltrans 2,2023,30.48,0,-2.304490568
Caltrans 3,2023,30.48,0,-2.304490568
Caltrans 4,2023,30.48,0,-2.304490568
Pond S,2021,32,0.717948718,-0.140916347
Ellicott,2021,35,0.257142857,-0.58152772
South Moro Cojo,2021,39,0.032653061,-1.424657662
Delaney,2021,40,0,-2.304490568
Prospect,2021,40,2.728571429,0.436724122
Calabasas,2021,40,0.127272727,-0.878660005
Valencia,2021,40,0.762711864,-0.114824197
Pond N,2021,42,0.422110553,-0.36950005
Upper Cattail,2021,45,0,-2.304490568
Pond R,2021,45,0.444444444,-0.347362331
Visitor Center,2021,50,0,-2.304490568
Howell,2021,50,0,-2.304490568
Seascape 1,2022,53,0.050432277,-1.256548297
Seascape 2,2021,60,0.033783784,-1.411794412
Willow Canyon,2021,60,3.1,0.492056054
South Finger,2023,60.96,0,-2.304490568
North Moro Cojo,2024,60.96,0,-2.304490568
Lower Cattail,2022,61,0,-2.304490568
Willow Canyon,2022,62,3.866666667,0.587893508
Seascape 1,2021,65,0.173267327,-0.749024934
Oxbow,2021,65,0,-2.304490568
Zmudowski,2021,65,0,-2.304490568
Ellicott,2022,66,0.199134199,-0.690168665
McClusky Slough,2021,70,0,-2.304490568
Millsap 1,2021,70,0,-2.304490568
Prospect,2022,70,3.028571429,0.481948544
Millsap 2,2022,71,0.886287625,-0.05000146
Seascape 3,2021,75,0.853658537,-0.066199579
Pond S,2022,76,0,-2.304490568
Pond N,2022,76,0.225733634,-0.636963793
Valencia,2022,76,0,-2.304490568
Swimming Pool,2022,76,0,-2.304490568
Suess,2023,76.2,0.406626506,-0.385538538
South Moro Cojo,2023,76.2,0,-2.304490568
Pond O,2023,76.2,0.316686967,-0.492620111
Suess,2024,76.2,0.010775862,-1.803100713
Central,2024,81.28,0,-2.304490568
Calabasas,2023,82,0.095070423,-0.999866518
Long Valley,2024,86.36,0.048283262,-1.273732759
Calabasas,2024,88.392,0.069332101,-1.129055506
Tucker,2021,90,0,-2.304490568
Seascape 2,2023,90,0.348837209,-0.451245208
Oxbow,2022,90,0,-2.304490568
McClusky Slough,2022,91,0,-2.304490568
Millsap 1,2022,91,0,-2.304490568
Tucker,2022,91,0,-2.304490568
South Moro Cojo,2024,91.44,0,-2.304490568
Central,2023,91.44,0,-2.304490568
Visitor Center,2024,91.44,0,-2.304490568
Visitor Center,2023,91.44,0,-2.304490568
North Moro Cojo,2023,91.44,0,-2.304490568
Swimming Pool,2024,91.44,0,-2.304490568
Millsap 2,2024,94.488,0,-2.304490568
Pond O,2024,97.536,0.238636364,-0.613328633
Seascape 3,2022,100,0.246478873,-0.599567031
Pond R,2022,100,0,-2.304490568
Pond S,2024,104.14,0.310650888,-0.500847587
Hix,2022,106,0,-2.304490568
Seascape 1,2023,106,0.222419929,-0.643247268
Seascape 2,2022,106,0.065406977,-1.15262915
Millsap 1,2023,106.7,0,-2.304490568
Pond S,2023,106.7,1.41509434,0.15230506
Delaney,2023,110,0.169721656,-0.757751911
Carneros 2,2024,111.76,0.084889643,-1.046482112
Millsap 2,2023,112,0.251396648,-0.591154879
Carneros 2,2023,114.3,0.022970904,-1.553910079
Seascape 1,2024,116.84,0,-2.304490568
Buena Vista 2,2022,120,0,-2.304490568
Oxbow,2023,121,0.005955926,-1.961926805
Willow Canyon,2023,121.9,2.083333333,0.319791568
Pond R,2023,121.9,1.398305085,0.147139818
Pond R,2024,121.92,0.102986612,-0.966789709
Oxbow,2024,121.92,0.048746518,-1.26997044
Delaney,2024,121.92,0.009578544,-1.837469616
Delaney,2022,122,0,-2.304490568
Seascape 3,2023,125,0.083732057,-1.05211372
Willow Canyon,2024,131.064,0.139891697,-0.839075462
Buena Vista 1,2024,134.112,0.100624566,-0.976398257
Zmudowski,2022,137,0,-2.304490568
Seascape 3,2024,137.16,0.27,-0.56072998
Carneros 1,2024,137.16,0.164473684,-0.770999434
Pond N,2023,137.2,0.888157895,-0.049091055
Merk,2023,137.2,0,-2.304490568
Tucker,2023,137.2,0.132517839,-0.861766302
Upper Cattail,2022,143,0.071428571,-1.116969812
Tucker,2024,146.304,0,-2.304490568
Corralitos,2023,150,0,-2.304490568
North County Parks,2023,152,0.055305203,-1.219931092
Seascape 2,2024,152.4,0.08203125,-1.060522846
Racehorse,2024,152.4,0.062466051,-1.171170233
North County Parks,2024,152.4,0.040268456,-1.344585194
Racehorse,2023,152.4,0.304,-0.510097298
Carneros 1,2023,152.4,0.133101852,-0.859925308
Pond N,2024,152.4,0.033409898,-1.416005767
Valencia,2024,152.4,0,-2.304490568
Hix,2024,152.4,0,-2.304490568
Shadowmere,2024,152.4,0,-2.304490568
Zmudowski,2023,152.4,0,-2.304490568
Zmudowski,2024,152.4,0,-2.304490568
Valencia,2023,152.4,0.165447025,-0.768511698
Upper Cattail,2024,152.4,0.05599711,-1.214973373
Upper Cattail,2023,152.4,0.071580064,-1.11610938
Merk,2024,152.4,0,-2.304490568
Millsap 1,2024,152.4,0,-2.304490568
Howell,2024,152.4,0,-2.304490568
Lower Cattail,2024,152.4,0,-2.304490568
Lower Cattail,2023,153,0.005399568,-1.984645065
Prospect,2024,158.496,0.070082165,-1.12469281
Ellicott,2024,158.496,0.176168339,-0.742012835
Buena Vista 2,2023,173.7,0.069767442,-1.126518042
Shadowmere,2023,183,0,-2.304490568
Buena Vista 2,2024,184.404,1.25,0.098629993
Ellicott,2023,218,0,-2.304490568
Prospect,2023,219,0,-2.304490568
Alexander,2023,228,0,-2.304490568
Buena Vista 1,2023,237.7,0,-2.304490568
Buena Vista 1,2021,0,0,-2.304490568
Buena Vista 1,2022,0,0,-2.304490568
