pond,year,vert_pred,depth,suitable_598_split,suitable_598,log_larv_dens,log_medium_prey,log_large_prey,log_invert_pred,log_plankton,log_water_temp,log_salinity,log_turbidity,log_dist_to_breed,sqrt_chlorophyll,sqrt_emergent_veg,azolla_presence_absence
Calabasas,2021,0,40,883800,1260000,-0.878660005,1.544595739,2.16242215,-0.45064636,2.386593825,1.444044796,-1,1.033986365,2.319369172,42.80186912,9.486832981,0
Delaney,2021,0,40,974700,1012500,-2.304490568,1.278753601,0.751132408,-1.942008069,2.892094603,1.328379603,-1,0.801197835,2.590041302,18.15488915,5.916079783,0
Ellicott,2021,1,35,671400,840600,-0.58152772,0,1.082101172,-0.953003439,4.03121394,1.260071388,-0.698970004,1.390405156,2.582309171,49.28488612,7.745966692,0
Howell,2021,0,50,197100,768600,-2.304490568,0,0.574306923,-1.397940009,0,1.365487985,1.004321374,1.408070286,2.851385512,33.10589071,1,0
McClusky Slough,2021,1,70,495000,495000,-2.304490568,0,-1.176091257,-1.942008069,1.799340549,1.322219295,-0.045757491,1.383994789,3.739696102,0,3.16227766,0
Millsap 1,2021,0,70,744300,1125000,-2.304490568,0,-0.815667609,-1.942008069,1.642040335,1.120573931,-0.698970004,1.174350597,1.914601108,17.35511452,9.746794345,0
Oxbow,2021,0,65,732600,732600,-2.304490568,0,-0.107375447,-1.942008069,4.295113769,1.146128036,-0.522878745,0.67651071,2.104920623,14.20915198,8.94427191,0
Pond N,2021,0,42,675000,675000,-0.36950005,0,0.670599225,0.236968894,3.927336138,1.198657087,-0.301029996,0.67669361,2.087773581,20.15440399,3.872983346,0
Pond R,2021,0,45,650700,652500,-0.347362331,0,0.039508542,0.047738313,3.855007056,1.328379603,-0.397940009,0.919966702,2.137059698,23.39016887,3.16227766,0
Pond S,2021,0,32,579600,603900,-0.140916347,0,0.776770345,-0.213654271,4.345311637,1.418301291,-0.301029996,1.272305844,2.137059698,16.96466917,5.477225575,0
Prospect,2021,1,40,639900,882900,0.436724122,0.77815125,1.014440529,-1.589825547,2.749736316,1.387389826,-0.522878745,1.511080846,2.582309171,38.48376281,3.872983346,0
Seascape 1,2021,0,65,615600,734400,-0.749024934,0,0.863531555,0.268000518,2.652798703,1.264817823,-1,0.577031986,2.586648311,14.56708619,9.486832981,0
Seascape 2,2021,0,60,530100,662400,-1.411794412,1.436413749,-0.359481757,-0.151273421,2.493494739,1.089905111,-1,0.593064432,2.586648311,11.823705,9.746794345,0
Seascape 3,2021,0,75,455400,910800,-0.066199579,0.57723641,0.615862413,-0.145965206,1.310575313,1.11058971,-0.698970004,1.25791845,2.602569988,12.86468033,8.94427191,0
South Moro Cojo,2021,0,39,732600,899100,-1.424657662,0,1.498244896,-0.737888072,2.72011064,1.408239965,0,1.130976692,3.093714321,30.80422049,7.745966692,0
Tucker,2021,1,90,1097100,1120500,-2.304490568,0,0.178839968,-0.853871964,2.861932481,1.278753601,-1,0.673205282,3.276239205,13.34915728,4.472135955,0
Upper Cattail,2021,0,45,396900,832500,-2.304490568,0.301029996,1.765207162,-0.90061537,3.886321487,1.274157849,-0.522878745,1.520745472,2.098299551,31.82766093,0,0
Valencia,2021,0,40,37800,971100,-0.114824197,1.512304516,0.769735286,-1.942008069,3.051972517,1.103803721,-1,0.498310554,3.076084752,17.72286659,7.071067812,1
Visitor Center,2021,0,50,692100,756000,-2.304490568,0,1.69019608,-1.30518596,1.204119983,1.330413773,-0.397940009,0.3287872,2.637758373,11.5974135,3.16227766,0
Willow Canyon,2021,0,60,734400,739800,0.492056054,0.698970004,0.453026965,-1.942008069,3.052693942,1.225309282,-0.698970004,1.820070034,2.860886011,21.22969618,5,0
Zmudowski,2021,1,65,305100,305100,-2.304490568,0.602059991,0.616800482,-1.397940009,2.086359831,1.245512668,-0.045757491,0.852357984,3.790994248,0,7.071067812,0
Buena Vista 2,2022,0,120,827100,992700,-2.304490568,0.602059991,-0.489710382,-1.397940009,3.06483222,1.290034611,-0.698970004,1.212453961,2.707041061,13.09198228,1.732050808,0
Calabasas,2022,0,27,883800,1260000,-0.467524356,1.8683505,2.038997571,-0.908794413,3.286164447,1.133538908,-1,0.730701544,2.319369172,19.17811252,9.486832981,0
Delaney,2022,0,122,974700,1012500,-2.304490568,1.591064607,0.952092532,-1.942008069,2.627365857,1.240549248,-1,1.302979937,2.590041302,16.12141433,4.472135955,0
Ellicott,2022,1,66,671400,840600,-0.690168665,0,0.627170712,-1.942008069,3.288919606,1.264817823,-1,1.101059355,2.582309171,33.07567082,5.477225575,0
Hix,2022,0,106,243900,797400,-2.304490568,1.397940009,1.270401527,-1.942008069,3.886095732,1.250420002,-0.522878745,1.888853167,2.815589261,20.49634114,0,0
McClusky Slough,2022,1,91,495000,495000,-2.304490568,0,-1.176091257,-1.942008069,1.919078092,1.283301229,-0.22184875,1.385069776,3.739696102,20.76294777,3.16227766,0
Millsap 1,2022,1,91,744300,1125000,-2.304490568,0,-0.120241407,-0.92881213,1.041392685,1.113943352,-0.698970004,1.216693599,1.914601108,24.61300469,9.899494937,0
Millsap 2,2022,1,71,688500,1113300,-0.05000146,1.924279286,-0.215009325,-1.942008069,3.244029589,1.318063335,-0.301029996,1.95875495,1.914601108,13.80217374,3.16227766,0
Oxbow,2022,0,90,732600,732600,-2.304490568,0,-0.305185955,-1.942008069,4.371086342,1.096910013,-0.397940009,0,2.104920623,18.03330253,9.486832981,0
Pond N,2022,0,76,675000,675000,-0.636963793,0,1.51067265,-0.619788758,3.943445049,1.158362492,-0.397940009,1.422425676,2.087773581,20.61795334,5.477225575,0
Pond R,2022,0,100,650700,652500,-2.304490568,0,1.238388138,0.291090868,3.58899959,1.245512668,-0.397940009,1.671635597,2.137059698,19.93489403,3.872983346,0
Pond S,2022,0,76,579600,603900,-2.304490568,0.602059991,1.732700032,0.122449936,3.589837943,1.271841607,-0.397940009,0.969415912,2.137059698,16.80476123,5,0
Prospect,2022,1,70,639900,882900,0.481948544,0,1.627902053,-0.570940192,3.503382063,1.328379603,-0.522878745,0.988648125,2.582309171,26.92396702,6.32455532,0
Seascape 1,2022,0,53,615600,734400,-1.256548297,1.612783857,0.449735454,-1.942008069,3.454234896,1.136720567,-1,1.204119983,2.586648311,15.14925741,9.486832981,0
Seascape 2,2022,0,106,530100,662400,-1.15262915,1.230448921,0.65647,-0.871667331,2.5289167,1.093421685,-1,0.782472624,2.586648311,13.30037593,9.746794345,0
Seascape 3,2022,0,100,455400,910800,-0.599567031,1.612783857,-0.042473833,-1.942008069,2.416640507,1.103803721,-1,0.969042967,2.602569988,17.33781993,8.94427191,0
South Moro Cojo,2022,1,30,732600,899100,-2.003460572,1.342422681,0.812595076,-0.90061537,2.826074803,1.340444115,-0.096910013,1.010723865,3.093714321,20.19405853,8.94427191,0
Suess,2022,0,15,648900,1007100,-0.792607168,1.230448921,-0.160103154,-1.942008069,4.00246845,1.037426498,-1,1.138302698,2.319369172,14.60821687,6.32455532,0
Swimming Pool,2022,0,76,516600,602100,-2.304490568,1.698003833,1.665737296,0.399920831,2.382017043,1.181843588,0.544068044,1.417305583,2.726305051,16.23576299,7.745966692,0
Tucker,2022,1,91,1097100,1120500,-2.304490568,1.431363764,-0.176091259,0.158362492,2.957607287,1.184691431,-1,1.13893394,3.276239205,16.50454483,3.16227766,1
Upper Cattail,2022,0,143,396900,832500,-1.116969812,0,1.614997596,-1.942008069,4.097884136,1.278753601,-0.522878745,1.740125737,2.098299551,30.59248274,1.732050808,0
Valencia,2022,0,76,37800,971100,-2.304490568,1.42894429,0.38574871,-1.942008069,2.762753565,1.100370545,-1,0.938719815,3.076084752,21.78531616,8.94427191,1
Visitor Center,2022,0,30,692100,756000,-2.304490568,0,1.635292217,-0.90061537,0.84509804,1.271841607,-0.522878745,0.439806211,2.637758373,12.38547536,1.732050808,0
Willow Canyon,2022,0,62,734400,739800,0.587893508,0.602059991,0.733922967,-0.406292084,1.812913357,1.283301229,-1,0.814713613,2.860886011,15.08310313,6.32455532,0
Zmudowski,2022,1,137,305100,305100,-2.304490568,0.301029996,0.782950133,-1.942008069,3.226599905,1.206825876,-0.22184875,0.686010291,3.790994248,14.6355731,6.708203932,0
Buena Vista 1,2023,0,237.7,1070100,1070100,-2.304490568,2.173768823,0.728769873,-0.807824815,3.503681755,1.274157849,-1,1.476831629,2.707041061,14.46720429,3.16227766,0
Buena Vista 2,2023,0,173.7,827100,992700,-1.126518042,1.342422681,0.983185821,-0.996908926,3.041392685,1.298853076,-1,0.759441197,2.707041061,10.73312629,4.472135955,0
Calabasas,2023,0,82,883800,1260000,-0.999866518,0,1.13912529,-0.943123059,3.243781916,1.212187604,-1,0.660580912,2.319369172,10.1882285,9.219544457,1
Carneros 1,2023,1,152.4,544500,561600,-0.859925308,0,1.075312954,-0.352498809,1.830374783,1.195899652,-0.301029996,0.963504499,1.764624398,12.74362586,9.899494937,0
Carneros 2,2023,0,114.3,580500,597600,-1.553910079,0,1.33989291,-0.246429099,4.6814312,1.201397124,-0.397940009,0.735039705,1.621072371,17.91089054,8.366600265,0
Central,2023,0,91.44,236700,310500,-2.304490568,0.929418926,1.646567087,-0.792019598,3.801986495,1.267171728,-1,1.317854489,2.828771083,59.65735495,7.745966692,0
Delaney,2023,0,110,974700,1012500,-0.757751911,1.852479994,0.791055398,-0.785660854,3.615592374,1.195899652,-1,1.654369091,2.590041302,18.79627623,7.745966692,0
Ellicott,2023,0,218,671400,840600,-2.304490568,1.301029996,1.090946304,-1.640978074,3.225955073,1.255272505,-0.698970004,1.412628521,2.582309171,26.64301034,5,1
Lower Cattail,2023,0,153,486000,615600,-1.984645065,0,0.485275939,-1.218616778,3.245935476,1.245512668,-0.397940009,1.229169703,2.098299551,17.54137965,2.645751311,0
Merk,2023,0,137.2,693000,750600,-2.304490568,0,-0.506173052,-0.800005273,2.470373735,1.212187604,-1,1.549248557,3.182794662,14.31432849,4.472135955,0
Millsap 1,2023,1,106.7,744300,1125000,-2.304490568,1.079181246,-0.802510595,-0.713887795,2.222716471,1.113943352,-0.698970004,1.236789099,1.914601108,18.05270063,9.486832981,0
Millsap 2,2023,1,112,688500,1113300,-0.591154879,0.954242509,0.924279286,-0.822990571,2.696356389,1.301029996,-0.522878745,1.631950826,1.914601108,15.67482057,2.828427125,0
North County Parks,2023,0,152,338400,338400,-1.219931092,1.305351369,1.144913337,-1.225442935,4.064375615,1.247973266,-0.522878745,1.350441857,3.093714321,17.55277756,5.916079783,0
North Moro Cojo,2023,1,91.44,441900,441900,-2.304490568,1,1.355123301,-0.354122987,3.288919606,1.352182518,0.361727836,0.691346764,3.188128323,33.86738844,9.219544457,1
Oxbow,2023,1,121,732600,732600,-2.304490568,0.812913357,0.050904991,-1.942008069,0,1.11058971,-0.397940009,1.802363174,2.104920623,18.22086716,9.486832981,0
Pond N,2023,0,137.2,675000,675000,-0.049091055,0,0.774246546,-0.538792177,4.732884075,1.170261715,-0.397940009,1.712733859,2.087773581,35.32704347,5.916079783,0
Pond O,2023,1,76.2,583200,588600,-0.492620111,0,0.302400601,-1.942008069,4.462293156,1.127104798,-0.397940009,1.607455023,2.087773581,17.31473361,6.708203932,0
Pond R,2023,1,121.9,650700,652500,0.147139818,0.985276745,0.888525342,0.135883117,2.416640507,1.212187604,-0.397940009,1.218535505,2.137059698,44.19275959,4.472135955,0
Pond S,2023,1,106.7,579600,603900,0.15230506,0.595625885,0.894852259,-0.143285763,2.440909082,1.206825876,-0.397940009,1.008472419,2.137059698,21.57544901,8.062257748,0
Prospect,2023,0,219,639900,882900,-2.304490568,1.980003372,1.709835081,0.278100035,3.767118745,1.278753601,-1,1.016281025,2.582309171,15.91225942,2.645751311,1
Racehorse,2023,1,152.4,1108800,1111500,-0.510097298,1.113943352,1.217922404,-0.506641547,3.559308011,1.334453751,-0.698970004,0.33725954,3.019776581,15.90597372,3.16227766,0
Seascape 1,2023,0,106,615600,734400,-0.643247268,1.447158031,0.659599313,-0.781793557,2.4448252,1.117271296,-1,1.729488769,2.586648311,15.64928113,9.219544457,1
Seascape 2,2023,0,90,530100,662400,-0.451245208,1.819543936,-0.014723257,-0.674836326,2.463892989,1.123851641,-1,0.989583289,2.586648311,13.26649916,9.949874371,0
Seascape 3,2023,0,125,455400,910800,-1.05211372,1.431363764,0.91204483,-1.942008069,2.394451681,1.127104798,-1,1.075546961,2.602569988,15.72259521,9.797958971,0
Shadowmere,2023,1,183,1081800,1081800,-2.304490568,1.339120039,-1.176091257,-1.144665413,3.515895911,1.130333768,-1,1.64028263,2.936643562,15.31992167,4.123105626,0
South Moro Cojo,2023,0,76.2,732600,899100,-2.304490568,2.285557309,0.464886798,-1.942008069,3.567849451,1.214843848,-0.397940009,1.163757524,3.093714321,14.19154678,8.062257748,1
Suess,2023,0,76.2,648900,1007100,-0.385538538,1.740362689,0.343020471,-0.989964509,3.962464046,1.222716471,-1,1.172018809,2.319369172,11.88696765,9.219544457,0
Tucker,2023,1,137.2,1097100,1120500,-0.861766302,0,0.290804327,0.232879719,2.605843539,1.220108088,-1,1.354492601,3.276239205,17.35511452,3.16227766,0
Upper Cattail,2023,0,152.4,396900,832500,-1.11610938,1.407305907,0.558308484,-0.953003439,3.665376271,1.158362492,-0.522878745,0.581835924,2.098299551,16.5257375,8.366600265,0
Valencia,2023,0,152.4,37800,971100,-0.768511698,1.835690571,0.815574369,-1.139678329,3.602466952,1.123851641,-0.698970004,0.352375495,3.076084752,14.50861813,9.486832981,0
Visitor Center,2023,0,91.44,692100,756000,-2.304490568,0,1.281835142,-1.218616778,2.389166084,1.250420002,-0.698970004,0.650210355,2.637758373,12.52597302,2.828427125,0
Willow Canyon,2023,0,121.9,734400,739800,0.319791568,0.910624405,0.663107365,-0.822990571,3.314229684,1.250420002,-1,1.516931809,2.860886011,15.89339485,6.32455532,0
Zmudowski,2023,1,152.4,305100,305100,-2.304490568,1.826074803,0.573235752,-1.942008069,3.249809609,1.212187604,-0.522878745,1.054995862,3.790994248,15.97185024,5.916079783,1
Buena Vista 1,2024,0,134.112,1070100,1070100,-0.976398257,1.994659253,0.384739901,-0.172756167,2.830125117,1.340444115,-1,0.787814567,2.707041061,8.868483523,3.872983346,0
Buena Vista 2,2024,0,184.404,827100,992700,0.098629993,0.503450193,1.29956696,-0.553951279,2.608191626,1.350248018,-1,0.556181847,2.707041061,7.756932383,2.236067977,0
Calabasas,2024,0,88.392,883800,1260000,-1.129055506,0,1.293008219,-1.942008069,3.061829307,1.187520721,-1,0.872389388,2.319369172,27.48454111,3.872983346,0
Carneros 1,2024,1,137.16,544500,561600,-0.770999434,0.564271434,1.092650037,-1.942008069,2.234685974,1.167317335,-0.301029996,0.869349081,1.764624398,13.60147051,9.486832981,0
Carneros 2,2024,1,111.76,580500,597600,-1.046482112,0.698970004,1.440384255,-1.942008069,1.785329835,1.243038049,-0.301029996,0.794627445,1.621072371,30.88365263,6.708203932,0
Delaney,2024,0,121.92,974700,1012500,-1.837469616,1.716003344,0.369103361,-0.376213881,3.946403134,1.133538908,-1,1.349860082,2.590041302,26.30589288,5.916079783,1
Ellicott,2024,0,158.496,671400,840600,-0.742012835,1.653212514,1.176629154,0.029026811,3.345373731,1.227886705,-1,0.658583715,2.582309171,14.07480018,9.219544457,1
Hix,2024,0,152.4,243900,797400,-2.304490568,1.230448921,1.526831396,0.605228064,3.3232521,1.222716471,-0.522878745,0.584896344,2.815589261,20.35436071,2.236067977,1
Howell,2024,0,152.4,197100,768600,-2.304490568,0,0.400994848,-0.590867578,3.592620821,1.193124598,0.041392685,0.494988974,2.851385512,21.98408515,6.32455532,1
Lower Cattail,2024,0,152.4,486000,615600,-2.304490568,1.413113413,0.215039962,-0.822990571,2.453488219,1.285557309,-0.045757491,0.64443859,2.098299551,17.3781472,2.236067977,0
Merk,2024,1,152.4,693000,750600,-2.304490568,1.176091259,-0.240225488,-1.269206003,3.292477594,1.301029996,-0.698970004,1.401055726,3.182794662,13.11868896,2.236067977,1
Millsap 2,2024,1,94.488,688500,1113300,-2.304490568,2.314569387,1.065328343,-0.410288196,3.337891677,1.267171728,-0.522878745,1.482158695,1.914601108,12.35313725,3.872983346,1
North County Parks,2024,1,152.4,338400,338400,-1.344585194,0,0.956036532,-1.218616778,2.300409131,1.278753601,-0.522878745,0.881726935,3.093714321,15.83666632,3.872983346,0
North Moro Cojo,2024,1,60.96,441900,441900,-2.304490568,0,1.081940028,-1.218616778,2.975891136,1.29666519,0.301029996,1.348110068,3.188128323,29.00344807,7.071067812,0
Oxbow,2024,1,121.92,732600,732600,-1.26997044,1.482873584,-0.037788561,-1.942008069,0.716003344,1.117271296,-0.397940009,0.920749261,2.104920623,38.69108424,9.746794345,0
Pond N,2024,1,152.4,675000,675000,-1.416005767,1.69019608,0.631158846,-1.942008069,2.822168079,1.167317335,-0.522878745,1.541079768,2.087773581,35.24202037,7.416198487,0
Pond O,2024,1,97.536,583200,588600,-0.613328633,2.012837225,0.468593459,-1.942008069,2.561101384,1.11058971,-0.522878745,1.395501124,2.087773581,31.49444395,8.062257748,0
Pond R,2024,1,121.92,650700,652500,-0.966789709,1.471937801,0.789130899,-1.942008069,0.827938495,1.184691431,-0.397940009,1.307923704,2.137059698,44.47471192,6.32455532,0
Pond S,2024,1,104.14,579600,603900,-0.500847587,0.301029996,1.250629832,-1.942008069,1.255272505,1.187520721,-0.397940009,1.400365273,2.137059698,35.65108694,7.745966692,0
Prospect,2024,0,158.496,639900,882900,-1.12469281,1.596597096,1.52143106,-0.203298957,4.126050193,1.283301229,-1,0.960042456,2.582309171,16.82557577,5.477225575,0
Racehorse,2024,1,152.4,1108800,1111500,-1.171170233,1.516114519,0.826157898,-0.968258703,2.959084776,1.245512668,-1,0.721480855,3.019776581,10.45466403,3.16227766,1
Seascape 1,2024,0,116.84,615600,734400,-2.304490568,2.081437326,0.883661435,-0.658047591,3.484210835,1.133538908,-1,1.59117595,2.586648311,13.83473888,7.416198487,1
Seascape 2,2024,0,152.4,530100,662400,-1.060522846,1.746244872,0.479527325,-0.291215014,3.035029282,1.123851641,-1,1.016573746,2.586648311,14.30734077,9.486832981,1
Seascape 3,2024,0,137.16,455400,910800,-0.56072998,1.687231604,1.207674254,-0.614554511,2.501515694,1.155336037,-1,1.045714059,2.602569988,13.51665639,5.916079783,1
Shadowmere,2024,1,152.4,1081800,1081800,-2.304490568,2.441371643,-0.875061261,-1.349091449,3.153312603,1.178976947,-1,1.752893155,2.936643562,15.39155613,4.472135955,0
South Moro Cojo,2024,1,91.44,732600,899100,-2.304490568,1.413858337,0.60518981,-1.232114375,2.378397901,1.276461804,-0.301029996,1.258397804,3.093714321,25.47940345,8.660254038,1
Swimming Pool,2024,0,91.44,516600,602100,-2.304490568,2.273772658,1.342751567,0.164777594,2.708279228,1.281033367,0.041392685,0.49037992,2.726305051,18.00277756,8.94427191,1
Tucker,2024,1,146.304,1097100,1120500,-2.304490568,1.612783857,0.835405988,0.327729344,3.280226455,1.264817823,-1,0.330616667,3.276239205,10.49285471,3.872983346,0
Upper Cattail,2024,0,152.4,396900,832500,-1.214973373,2.257678575,0.982819239,-0.830348465,2.971739591,1.1430148,-0.522878745,0.777934049,2.098299551,17.13767779,7.071067812,1
Valencia,2024,0,152.4,37800,971100,-2.304490568,2.656736874,0.922650395,-1.232114375,2.907590488,1.133538908,-1,0.506640306,3.076084752,17.35511452,7.745966692,1
Willow Canyon,2024,0,131.064,734400,739800,-0.839075462,1.263241427,0.947760382,0.303504615,3.109915863,1.292256071,-1,1.215108581,2.860886011,12.66096363,5,1
Zmudowski,2024,1,152.4,305100,305100,-2.304490568,1.602059991,0.570602806,-1.942008069,2.913813852,1.225309282,-0.397940009,0.879439966,3.790994248,18.59300944,8.366600265,1
