pond,year,depth,suitable_598_split,suitable_598,vert_pred,log_larv_dens,log_large_prey,log_invert_pred,log_water_temp,log_salinity,log_turbidity,log_dist_to_breed,sqrt_chlorophyll,sqrt_emergent_veg,azolla_presence_absence
Calabasas,2021,40,883800,1260000,0,-0.8786600045,2.16242215,-0.4506463595,1.444044796,-1,1.033986365,2.319369172,42.80186912,9.486832981,0
Delaney,2021,40,974700,1012500,0,-2.304490568,0.7511324076,-1.942008069,1.328379603,-1,0.8011978345,2.590041302,18.15488915,5.916079783,0
Ellicott,2021,35,671400,840600,1,-0.5815277198,1.082101172,-0.953003439,1.260071388,-0.6989700043,1.390405156,2.582309171,49.28488612,7.745966692,0
Howell,2021,50,197100,768600,0,-2.304490568,0.5743069228,-1.397940009,1.365487985,1.004321374,1.408070286,2.851385512,33.10589071,1,0
McClusky Slough,2021,70,495000,495000,1,-2.304490568,-1.176091257,-1.942008069,1.322219295,-0.04575749056,1.383994789,3.739696102,0,3.16227766,0
Millsap 1,2021,70,744300,1125000,0,-2.304490568,-0.8156676094,-1.942008069,1.120573931,-0.6989700043,1.174350597,1.914601108,17.35511452,9.746794345,0
Oxbow,2021,65,732600,732600,0,-2.304490568,-0.1073754467,-1.942008069,1.146128036,-0.5228787453,0.6765107103,2.104920623,14.20915198,8.94427191,0
Pond N,2021,42,675000,675000,0,-0.3695000503,0.6705992254,0.2369688941,1.198657087,-0.3010299957,0.6766936096,2.087773581,20.15440399,3.872983346,0
Pond R,2021,45,650700,652500,0,-0.347362331,0.03950854159,0.04773831254,1.328379603,-0.3979400087,0.9199667015,2.137059698,23.39016887,3.16227766,0
Pond S,2021,32,579600,603900,0,-0.1409163474,0.7767703447,-0.2136542713,1.418301291,-0.3010299957,1.272305844,2.137059698,16.96466917,5.477225575,0
Prospect,2021,40,639900,882900,1,0.436724122,1.014440529,-1.589825547,1.387389826,-0.5228787453,1.511080846,2.582309171,38.48376281,3.872983346,0
Seascape 1,2021,65,615600,734400,0,-0.7490249338,0.8635315552,0.268000518,1.264817823,-1,0.5770319856,2.586648311,14.56708619,9.486832981,0
Seascape 2,2021,60,530100,662400,0,-1.411794412,-0.3594817569,-0.1512734205,1.089905111,-1,0.5930644317,2.586648311,11.823705,9.746794345,0
Seascape 3,2021,75,455400,910800,0,-0.06619957929,0.6158624128,-0.145965206,1.11058971,-0.6989700043,1.25791845,2.602569988,12.86468033,8.94427191,0
South Moro Cojo,2021,39,732600,899100,0,-1.424657662,1.498244896,-0.7378880724,1.408239965,0,1.130976692,3.093714321,30.80422049,7.745966692,0
Tucker,2021,90,1097100,1120500,1,-2.304490568,0.1788399676,-0.8538719643,1.278753601,-1,0.6732052818,3.276239205,13.34915728,4.472135955,0
Upper Cattail,2021,45,396900,832500,0,-2.304490568,1.765207162,-0.9006153703,1.274157849,-0.5228787453,1.520745472,2.098299551,31.82766093,0,0
Valencia,2021,40,37800,971100,0,-0.1148241971,0.7697352857,-1.942008069,1.103803721,-1,0.4983105538,3.076084752,17.72286659,7.071067812,1
Visitor Center,2021,50,692100,756000,0,-2.304490568,1.69019608,-1.30518596,1.330413773,-0.3979400087,0.3287872004,2.637758373,11.5974135,3.16227766,0
Willow Canyon,2021,60,734400,739800,0,0.492056054,0.453026965,-1.942008069,1.225309282,-0.6989700043,1.820070034,2.860886011,21.22969618,5,0
Zmudowski,2021,65,305100,305100,1,-2.304490568,0.6168004817,-1.397940009,1.245512668,-0.04575749056,0.8523579837,3.790994248,0,7.071067812,0
Buena Vista 2,2022,120,827100,992700,0,-2.304490568,-0.4897103818,-1.397940009,1.290034611,-0.6989700043,1.212453961,2.707041061,13.09198228,1.732050808,0
Calabasas,2022,27,883800,1260000,0,-0.4675243556,2.038997571,-0.9087944132,1.133538908,-1,0.7307015443,2.319369172,19.17811252,9.486832981,0
Central,2022,10,236700,310500,0,-2.304490568,0.8004879596,-1.942008069,1.357934847,-0.5228787453,1.984167127,2.828771083,79.67433715,2.236067977,0
Delaney,2022,122,974700,1012500,0,-2.304490568,0.9520925324,-1.942008069,1.240549248,-1,1.302979937,2.590041302,16.12141433,4.472135955,0
Ellicott,2022,66,671400,840600,1,-0.6901686646,0.6271707119,-1.942008069,1.264817823,-1,1.101059355,2.582309171,33.07567082,5.477225575,0
Hix,2022,106,243900,797400,0,-2.304490568,1.270401527,-1.942008069,1.250420002,-0.5228787453,1.888853167,2.815589261,20.49634114,0,0
McClusky Slough,2022,91,495000,495000,1,-2.304490568,-1.176091257,-1.942008069,1.283301229,-0.2218487496,1.385069776,3.739696102,20.76294777,3.16227766,0
Millsap 1,2022,91,744300,1125000,1,-2.304490568,-0.1202414071,-0.9288121301,1.113943352,-0.6989700043,1.216693599,1.914601108,24.61300469,9.899494937,0
Millsap 2,2022,71,688500,1113300,1,-0.05000145998,-0.2150093247,-1.942008069,1.318063335,-0.3010299957,1.95875495,1.914601108,13.80217374,3.16227766,0
Oxbow,2022,90,732600,732600,0,-2.304490568,-0.3051859548,-1.942008069,1.096910013,-0.3979400087,0,2.104920623,18.03330253,9.486832981,0
Pond N,2022,76,675000,675000,0,-0.6369637929,1.51067265,-0.6197887583,1.158362492,-0.3979400087,1.422425676,2.087773581,20.61795334,5.477225575,0
Pond R,2022,100,650700,652500,0,-2.304490568,1.238388138,0.2910908683,1.245512668,-0.3979400087,1.671635597,2.137059698,19.93489403,3.872983346,0
Pond S,2022,76,579600,603900,0,-2.304490568,1.732700032,0.122449936,1.271841607,-0.3979400087,0.9694159124,2.137059698,16.80476123,5,0
Prospect,2022,70,639900,882900,1,0.4819485442,1.627902053,-0.5709401917,1.328379603,-0.5228787453,0.9886481252,2.582309171,26.92396702,6.32455532,0
Seascape 1,2022,53,615600,734400,0,-1.256548297,0.4497354543,-1.942008069,1.136720567,-1,1.204119983,2.586648311,15.14925741,9.486832981,0
Seascape 2,2022,106,530100,662400,0,-1.15262915,0.6564700004,-0.8716673314,1.093421685,-1,0.7824726242,2.586648311,13.30037593,9.746794345,0
Seascape 3,2022,100,455400,910800,0,-0.599567031,-0.04247383303,-1.942008069,1.103803721,-1,0.9690429673,2.602569988,17.33781993,8.94427191,0
South Moro Cojo,2022,30,732600,899100,1,-2.003460572,0.8125950756,-0.9006153703,1.340444115,-0.09691001301,1.010723865,3.093714321,20.19405853,8.94427191,0
Suess,2022,15,648900,1007100,0,-0.792607168,-0.1601031535,-1.942008069,1.037426498,-1,1.138302698,2.319369172,14.60821687,6.32455532,0
Swimming Pool,2022,76,516600,602100,0,-2.304490568,1.665737296,0.3999208306,1.181843588,0.5440680444,1.417305583,2.726305051,16.23576299,7.745966692,0
Tucker,2022,91,1097100,1120500,1,-2.304490568,-0.1760912588,0.1583624921,1.184691431,-1,1.13893394,3.276239205,16.50454483,3.16227766,1
Upper Cattail,2022,143,396900,832500,0,-1.116969812,1.614997596,-1.942008069,1.278753601,-0.5228787453,1.740125737,2.098299551,30.59248274,1.732050808,0
Valencia,2022,76,37800,971100,0,-2.304490568,0.3857487099,-1.942008069,1.100370545,-1,0.9387198148,3.076084752,21.78531616,8.94427191,1
Visitor Center,2022,30,692100,756000,0,-2.304490568,1.635292217,-0.9006153703,1.271841607,-0.5228787453,0.4398062114,2.637758373,12.38547536,1.732050808,0
Willow Canyon,2022,62,734400,739800,0,0.5878935081,0.7339229673,-0.4062920835,1.283301229,-1,0.8147136127,2.860886011,15.08310313,6.32455532,0
Zmudowski,2022,137,305100,305100,1,-2.304490568,0.7829501333,-1.942008069,1.206825876,-0.2218487496,0.6860102913,3.790994248,14.6355731,6.708203932,0
Buena Vista 1,2023,237.7,1070100,1070100,0,-2.304490568,0.7287698726,-0.8078248153,1.274157849,-1,1.476831629,2.707041061,14.46720429,3.16227766,0
Buena Vista 2,2023,173.7,827100,992700,0,-1.126518042,0.9831858207,-0.9969089261,1.298853076,-1,0.7594411971,2.707041061,10.73312629,4.472135955,0
Calabasas,2023,82,883800,1260000,0,-0.9998665184,1.13912529,-0.9431230587,1.212187604,-1,0.6605809124,2.319369172,10.1882285,9.219544457,1
Carneros 1,2023,152.4,544500,561600,1,-0.859925308,1.075312954,-0.3524988093,1.195899652,-0.3010299957,0.9635044994,1.764624398,12.74362586,9.899494937,0
Carneros 2,2023,114.3,580500,597600,0,-1.553910079,1.33989291,-0.2464290992,1.201397124,-0.3979400087,0.735039705,1.621072371,17.91089054,8.366600265,0
Central,2023,91.44,236700,310500,0,-2.304490568,1.646567087,-0.7920195977,1.267171728,-1,1.317854489,2.828771083,59.65735495,7.745966692,0
Delaney,2023,110,974700,1012500,0,-0.7577519114,0.7910553977,-0.7856608543,1.195899652,-1,1.654369091,2.590041302,18.79627623,7.745966692,0
Ellicott,2023,218,671400,840600,0,-2.304490568,1.090946304,-1.640978074,1.255272505,-0.6989700043,1.412628521,2.582309171,26.64301034,5,1
Lower Cattail,2023,153,486000,615600,0,-1.984645065,0.4852759391,-1.218616778,1.245512668,-0.3979400087,1.229169703,2.098299551,17.54137965,2.645751311,0
Merk,2023,137.2,693000,750600,0,-2.304490568,-0.5061730516,-0.8000052729,1.212187604,-1,1.549248557,3.182794662,14.31432849,4.472135955,0
Millsap 1,2023,106.7,744300,1125000,1,-2.304490568,-0.8025105951,-0.7138877945,1.113943352,-0.6989700043,1.236789099,1.914601108,18.05270063,9.486832981,0
Millsap 2,2023,112,688500,1113300,1,-0.5911548787,0.9242792861,-0.8229905714,1.301029996,-0.5228787453,1.631950826,1.914601108,15.67482057,2.828427125,0
North County Parks,2023,152,338400,338400,0,-1.219931092,1.144913337,-1.225442935,1.247973266,-0.5228787453,1.350441857,3.093714321,17.55277756,5.916079783,0
North Moro Cojo,2023,91.44,441900,441900,1,-2.304490568,1.355123301,-0.3541229874,1.352182518,0.361727836,0.6913467641,3.188128323,33.86738844,9.219544457,1
Oxbow,2023,121,732600,732600,1,-1.961926805,0.05090499092,-1.942008069,1.11058971,-0.3979400087,1.802363174,2.104920623,18.22086716,9.486832981,0
Pond N,2023,137.2,675000,675000,0,-0.04909105464,0.7742465458,-0.5387921771,1.170261715,-0.3979400087,1.712733859,2.087773581,35.32704347,5.916079783,0
Pond O,2023,76.2,583200,588600,1,-0.4926201114,0.3024006005,-1.942008069,1.127104798,-0.3979400087,1.607455023,2.087773581,17.31473361,6.708203932,0
Pond R,2023,121.9,650700,652500,1,0.1471398177,0.8885253418,0.135883117,1.212187604,-0.3979400087,1.218535505,2.137059698,44.19275959,4.472135955,0
Pond S,2023,106.7,579600,603900,1,0.1523050604,0.8948522589,-0.1432857629,1.206825876,-0.3979400087,1.008472419,2.137059698,21.57544901,8.062257748,0
Prospect,2023,219,639900,882900,0,-2.304490568,1.709835081,0.278100035,1.278753601,-1,1.016281025,2.582309171,15.91225942,2.645751311,1
Racehorse,2023,152.4,1108800,1111500,1,-0.510097298,1.217922404,-0.506641547,1.334453751,-0.6989700043,0.3372595398,3.019776581,15.90597372,3.16227766,0
Seascape 1,2023,106,615600,734400,0,-0.643247268,0.6595993125,-0.7817935568,1.117271296,-1,1.729488769,2.586648311,15.64928113,9.219544457,1
Seascape 2,2023,90,530100,662400,0,-0.4512452083,-0.01472325667,-0.6748363255,1.123851641,-1,0.9895832893,2.586648311,13.26649916,9.949874371,0
Seascape 3,2023,125,455400,910800,0,-1.05211372,0.9120448297,-1.942008069,1.127104798,-1,1.075546961,2.602569988,15.72259521,9.797958971,0
Shadowmere,2023,183,1081800,1081800,1,-2.304490568,-1.176091257,-1.144665413,1.130333768,-1,1.64028263,2.936643562,15.31992167,4.123105626,0
South Moro Cojo,2023,76.2,732600,899100,0,-2.304490568,0.4648867984,-1.942008069,1.214843848,-0.3979400087,1.163757524,3.093714321,14.19154678,8.062257748,1
Suess,2023,76.2,648900,1007100,0,-0.3855385377,0.343020471,-0.9899645091,1.222716471,-1,1.172018809,2.319369172,11.88696765,9.219544457,0
Tucker,2023,137.2,1097100,1120500,1,-0.8617663017,0.2908043272,0.2328797189,1.220108088,-1,1.354492601,3.276239205,17.35511452,3.16227766,0
Upper Cattail,2023,152.4,396900,832500,0,-1.11610938,0.5583084835,-0.953003439,1.158362492,-0.5228787453,0.5818359241,2.098299551,16.5257375,8.366600265,0
Valencia,2023,152.4,37800,971100,0,-0.7685116976,0.8155743689,-1.139678329,1.123851641,-0.6989700043,0.352375495,3.076084752,14.50861813,9.486832981,0
Visitor Center,2023,91.44,692100,756000,0,-2.304490568,1.281835142,-1.218616778,1.250420002,-0.6989700043,0.6502103547,2.637758373,12.52597302,2.828427125,0
Willow Canyon,2023,121.9,734400,739800,0,0.3197915679,0.6631073645,-0.8229905714,1.250420002,-1,1.516931809,2.860886011,15.89339485,6.32455532,0
Zmudowski,2023,152.4,305100,305100,1,-2.304490568,0.5732357523,-1.942008069,1.212187604,-0.5228787453,1.054995862,3.790994248,15.97185024,5.916079783,1
Buena Vista 1,2024,134.112,1070100,1070100,0,-0.976398257,0.384739901,-0.172756167,1.340444115,-1,0.7878145671,2.707041061,8.868483523,3.872983346,0
Buena Vista 2,2024,184.404,827100,992700,0,0.09862999324,1.29956696,-0.5539512787,1.350248018,-1,0.5561818467,2.707041061,7.756932383,2.236067977,0
Calabasas,2024,88.392,883800,1260000,0,-1.129055506,1.293008219,-1.942008069,1.187520721,-1,0.8723893884,2.319369172,27.48454111,3.872983346,0
Carneros 1,2024,137.16,544500,561600,1,-0.7709994336,1.092650037,-1.942008069,1.167317335,-0.3010299957,0.8693490808,1.764624398,13.60147051,9.486832981,0
Carneros 2,2024,111.76,580500,597600,1,-1.046482112,1.440384255,-1.942008069,1.243038049,-0.3010299957,0.7946274447,1.621072371,30.88365263,6.708203932,0
Central,2024,81.28,236700,310500,0,-2.304490568,1.41464129,-0.9682587029,1.290034611,-1,1.159867847,2.828771083,47.5394573,9.486832981,0
Delaney,2024,121.92,974700,1012500,0,-1.837469616,0.3691033606,-0.3762138813,1.133538908,-1,1.349860082,2.590041302,26.30589288,5.916079783,1
Ellicott,2024,158.496,671400,840600,0,-0.7420128354,1.176629154,0.02902681102,1.227886705,-1,0.6585837154,2.582309171,14.07480018,9.219544457,1
Hix,2024,152.4,243900,797400,0,-2.304490568,1.526831396,0.605228064,1.222716471,-0.5228787453,0.5848963441,2.815589261,20.35436071,2.236067977,1
Howell,2024,152.4,197100,768600,0,-2.304490568,0.4009948477,-0.590867578,1.193124598,0.04139268516,0.4949889737,2.851385512,21.98408515,6.32455532,1
Long Valley,2024,86.36,574200,643500,0,-1.273732759,1.244689361,-1.942008069,1.198657087,-0.5228787453,1.163757524,2.872419709,15.1095996,3.872983346,1
Lower Cattail,2024,152.4,486000,615600,0,-2.304490568,0.2150399621,-0.8229905714,1.285557309,-0.04575749056,0.6444385895,2.098299551,17.3781472,2.236067977,0
Merk,2024,152.4,693000,750600,1,-2.304490568,-0.2402254883,-1.269206003,1.301029996,-0.6989700043,1.401055726,3.182794662,13.11868896,2.236067977,1
Millsap 1,2024,152.4,744300,1125000,1,-2.304490568,-1.176091257,-1.942008069,1.11058971,-0.6989700043,1.498586209,1.914601108,30.24566085,9.746794345,0
Millsap 2,2024,94.488,688500,1113300,1,-2.304490568,1.065328343,-0.4102881959,1.267171728,-0.5228787453,1.482158695,1.914601108,12.35313725,3.872983346,1
North County Parks,2024,152.4,338400,338400,1,-1.344585194,0.956036532,-1.218616778,1.278753601,-0.5228787453,0.8817269354,3.093714321,15.83666632,3.872983346,0
North Moro Cojo,2024,60.96,441900,441900,1,-2.304490568,1.081940028,-1.218616778,1.29666519,0.3010299957,1.348110068,3.188128323,29.00344807,7.071067812,0
Oxbow,2024,121.92,732600,732600,1,-1.26997044,-0.03778856073,-1.942008069,1.117271296,-0.3979400087,0.9207492613,2.104920623,38.69108424,9.746794345,0
Pond N,2024,152.4,675000,675000,1,-1.416005767,0.6311588457,-1.942008069,1.167317335,-0.5228787453,1.541079768,2.087773581,35.24202037,7.416198487,0
Pond O,2024,97.536,583200,588600,1,-0.6133286333,0.4685934594,-1.942008069,1.11058971,-0.5228787453,1.395501124,2.087773581,31.49444395,8.062257748,0
Pond R,2024,121.92,650700,652500,1,-0.9667897085,0.7891308991,-1.942008069,1.184691431,-0.3979400087,1.307923704,2.137059698,44.47471192,6.32455532,0
Pond S,2024,104.14,579600,603900,1,-0.5008475866,1.250629832,-1.942008069,1.187520721,-0.3979400087,1.400365273,2.137059698,35.65108694,7.745966692,0
Prospect,2024,158.496,639900,882900,0,-1.12469281,1.52143106,-0.2032989566,1.283301229,-1,0.9600424557,2.582309171,16.82557577,5.477225575,0
Racehorse,2024,152.4,1108800,1111500,1,-1.171170233,0.8261578975,-0.9682587029,1.245512668,-1,0.7214808548,3.019776581,10.45466403,3.16227766,1
Seascape 1,2024,116.84,615600,734400,0,-2.304490568,0.8836614352,-0.6580475909,1.133538908,-1,1.59117595,2.586648311,13.83473888,7.416198487,1
Seascape 2,2024,152.4,530100,662400,0,-1.060522846,0.4795273245,-0.2912150137,1.123851641,-1,1.016573746,2.586648311,14.30734077,9.486832981,1
Seascape 3,2024,137.16,455400,910800,0,-0.5607299802,1.207674254,-0.6145545112,1.155336037,-1,1.045714059,2.602569988,13.51665639,5.916079783,1
Shadowmere,2024,152.4,1081800,1081800,1,-2.304490568,-0.8750612612,-1.349091449,1.178976947,-1,1.752893155,2.936643562,15.39155613,4.472135955,0
South Moro Cojo,2024,91.44,732600,899100,1,-2.304490568,0.60518981,-1.232114375,1.276461804,-0.3010299957,1.258397804,3.093714321,25.47940345,8.660254038,1
Suess,2024,76.2,648900,1007100,0,-1.803100713,0.3586291246,-1.942008069,1.11058971,-1,0.9857856178,2.319369172,12.34503949,7.745966692,0
Swimming Pool,2024,91.44,516600,602100,0,-2.304490568,1.342751567,0.1647775936,1.281033367,0.04139268516,0.49037992,2.726305051,18.00277756,8.94427191,1
Tucker,2024,146.304,1097100,1120500,1,-2.304490568,0.8354059882,0.3277293442,1.264817823,-1,0.3306166673,3.276239205,10.49285471,3.872983346,0
Upper Cattail,2024,152.4,396900,832500,0,-1.214973373,0.9828192388,-0.8303484654,1.1430148,-0.5228787453,0.7779340488,2.098299551,17.13767779,7.071067812,1
Valencia,2024,152.4,37800,971100,0,-2.304490568,0.9226503948,-1.232114375,1.133538908,-1,0.5066403056,3.076084752,17.35511452,7.745966692,1
Visitor Center,2024,91.44,692100,756000,0,-2.304490568,0.6836126989,-0.1075384399,1.340444115,-0.6989700043,0.7460111078,2.637758373,11.50217371,4.472135955,1
Willow Canyon,2024,131.064,734400,739800,0,-0.8390754621,0.9477603819,0.3035046147,1.292256071,-1,1.215108581,2.860886011,12.66096363,5,1
Zmudowski,2024,152.4,305100,305100,1,-2.304490568,0.5706028055,-1.942008069,1.225309282,-0.3979400087,0.879439966,3.790994248,18.59300944,8.366600265,1